Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
236409,AnnenMayKantereit,Pocahontas,4poYvYKOKtpAOoXSIYeU0A,65,2016,german,0.596,0.591,2,-9.254,0,0.0363,0.34,0.00517,0.097,0.135,118.818,185231,4
541814,Calvin Harris,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",6clzeGvi1CFioMOolbAOlX,65,2022,dance,0.81,0.733,9,-6.338,1,0.0444,0.276,6.73e-06,0.288,0.9,125.975,229283,4
520624,Ovi,Los 4 Ases (Corrido Tumbado),2MLb1cIk2HkTyfLjh1NEcz,65,2021,sad,0.848,0.662,4,-6.024,0,0.0374,0.506,0.0,0.124,0.916,109.989,238120,3
560797,Nia Archives,Baianá,7B0gxo0jQCy5Lk93RIODAC,65,2022,hip-hop,0.531,0.89,2,-6.308,1,0.144,0.00198,0.497,0.0913,0.411,169.963,152559,4
411423,Alfredo Olivas,La Danza Del Venado,468U6z141Dy1dVPikBwKfY,65,2019,sad,0.809,0.865,5,-4.114,1,0.0704,0.0662,3.78e-06,0.167,0.859,112.948,206813,3
231852,Lil Peep,we think too much,6ee2ezCrbtoGUMwVJ9qTvM,65,2016,emo,0.532,0.422,10,-8.512,1,0.0443,0.0964,0.000251,0.0955,0.114,125.013,198627,4
456881,TOMORROW X TOGETHER,Can't You See Me?,2ecGP5xUE5126x6yHa7J6E,65,2020,k-pop,0.59,0.818,9,-2.988,0,0.0771,0.0584,0.0,0.205,0.664,139.925,201445,4
456878,BIBI,KAZINO,245onUPHGD1DYuiacxTuW0,65,2020,k-pop,0.625,0.686,6,-3.715,0,0.0414,0.139,0.0,0.11,0.263,133.041,185947,4
231851,Lil Peep,OMFG,06VjwfFALG0FKfgUPThUkb,65,2016,emo,0.576,0.702,8,-5.968,1,0.0534,0.24,1.82e-06,0.114,0.458,146.122,197853,4
454776,Frances Forever,space girl,7FjIYiD53wxlQmzTT6Wdpf,65,2020,indie-pop,0.669,0.395,9,-9.598,1,0.03,0.332,0.000196,0.37,0.196,125.979,231440,4
541874,James Hype,Ferrari - Oliver Heldens Remix,0oCNRAmwLo4zHDpCKpjQtI,65,2022,dance,0.73,0.903,1,-5.64,0,0.0427,0.00806,0.252,0.0998,0.694,124.957,188640,4
329594,Old Sea Brigade,Tidal Wave - Acoustic,4I7nXv6iqKh60sWMJdpUbN,65,2018,folk,0.646,0.288,1,-15.797,0,0.032,0.935,0.00122,0.16,0.338,106.923,155050,4
377723,Halsey,Nightmare,340UVheS8z3ncW9TTUhAbc,65,2019,dance,0.611,0.622,9,-5.075,0,0.0734,0.0188,0.0,0.359,0.538,146.11,231999,4
456888,BTS,Dis-ease,0hxeouHqP3qzpTHerA7ha2,65,2020,k-pop,0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,239722,4
454778,Phoebe Bridgers,Punisher,5LJ4ig9cMvjui3li1mrNRl,65,2020,indie-pop,0.32,0.227,1,-12.803,1,0.0448,0.986,0.000353,0.108,0.215,83.912,189623,4
1380588,Camila,De Qué Me Sirve la Vida,3YHGqAHprVEArAxLzaBE6O,65,2010,pop,0.411,0.468,2,-7.058,1,0.0294,0.29,0.0,0.136,0.179,149.399,248013,4
1082718,N.W.A.,Chin Check,3vQir0wkIdLGq3Lc4V6J2y,65,2006,hardcore,0.906,0.775,2,-5.775,1,0.268,0.0831,2.74e-05,0.15,0.838,100.054,221373,4
255750,Cigarettes After Sex,John Wayne,5IonbH68pmDKBwcKlyswmR,65,2017,ambient,0.429,0.457,3,-8.375,1,0.0294,0.35,0.859,0.099,0.183,124.033,258013,4
541864,Braaheim,Save Tonight,5bdIYjZy0ea7UtdDA2t4U7,65,2022,dance,0.661,0.917,0,-5.083,0,0.0625,0.126,0.0,0.164,0.545,125.956,148198,4
1380503,Miley Cyrus,Can't Be Tamed,2r6DdaSbkbwoPzuK6NjLPn,65,2010,pop,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,168213,4
842634,Caesars,Jerk It Out,5XMjXjwCkJVmk0AHm7z8IV,65,2002,rock,0.58,0.981,8,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667,4
578116,Yuuri,メリーゴーランド,1llk0Ducps2jpfNDtKwO1h,65,2022,singer-songwriter,0.517,0.629,3,-5.719,1,0.0279,0.492,0.0,0.0641,0.563,179.968,255840,3
623703,Lifehouse,Hanging By A Moment,0wqOReZDnrefefEsrIGeR4,65,2000,alt-rock,0.541,0.864,1,-4.915,1,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067,4
578023,Keenan Te,Never Let You Go,5MdZOhx2f37BPtxaEn0F85,65,2022,singer-songwriter,0.726,0.499,1,-9.056,1,0.0379,0.0921,0.0,0.0717,0.465,114.9,202435,4
454775,Phoebe Bridgers,ICU,0Jm0RTOlF7DsbQ689QclaF,65,2020,indie-pop,0.511,0.649,2,-8.078,1,0.0318,0.418,0.00569,0.103,0.397,133.976,190093,4
1062663,Scissor Sisters,I Don't Feel Like Dancin' - Radio Edit,1qEHgdFqUxFebMPk8s2HLY,65,2006,dance,0.711,0.924,7,-3.398,1,0.0282,0.0156,0.0,0.114,0.912,108.033,248640,4
